-- dump date   	20080125_165742
-- class       	Genbank::Feature
-- table       	feature_names
-- id	names
NP_414570.1	ispH	primary
NP_414570.1	b0029	alternate
NP_414570.1	944777	alternate
NP_414570.1	16128023	alternate
NP_414570.1	NP_414570.1	alternate
NP_414570.1	ECK0030	alternate
NP_414570.1	JW0027	alternate
NP_414570.1	lytB	alternate
NP_414570.1	yaaE	alternate
NP_414570.1	16128023	alternate
NP_414570.1	944777	alternate
NP_414570.1	b0029	alternate
NP_414570.1	NP_414570	alternate
NP_414571.1	rihC	primary
NP_414571.1	b0030	alternate
NP_414571.1	944796	alternate
NP_414571.1	16128024	alternate
NP_414571.1	NP_414571.1	alternate
NP_414571.1	ECK0031	alternate
NP_414571.1	yaaF	alternate
NP_414571.1	JW0028	alternate
NP_414571.1	16128024	alternate
NP_414571.1	944796	alternate
NP_414571.1	b0030	alternate
NP_414571.1	NP_414571	alternate
NP_414572.1	dapB	primary
NP_414572.1	b0031	alternate
NP_414572.1	944762	alternate
NP_414572.1	16128025	alternate
NP_414572.1	NP_414572.1	alternate
NP_414572.1	ECK0032	alternate
NP_414572.1	JW0029	alternate
NP_414572.1	16128025	alternate
NP_414572.1	944762	alternate
NP_414572.1	b0031	alternate
NP_414572.1	NP_414572	alternate
NP_414573.1	carA	primary
NP_414573.1	b0032	alternate
NP_414573.1	949025	alternate
NP_414573.1	16128026	alternate
NP_414573.1	NP_414573.1	alternate
NP_414573.1	ECK0033	alternate
NP_414573.1	pyrA	alternate
NP_414573.1	arg	alternate
NP_414573.1	JW0030	alternate
NP_414573.1	cap	alternate
NP_414573.1	16128026	alternate
NP_414573.1	949025	alternate
NP_414573.1	b0032	alternate
NP_414573.1	NP_414573	alternate
NP_414574.1	carB	primary
NP_414574.1	b0033	alternate
NP_414574.1	944775	alternate
NP_414574.1	16128027	alternate
NP_414574.1	NP_414574.1	alternate
NP_414574.1	ECK0034	alternate
NP_414574.1	cap	alternate
NP_414574.1	JW0031	alternate
NP_414574.1	pyrA	alternate
NP_414574.1	16128027	alternate
NP_414574.1	944775	alternate
NP_414574.1	b0033	alternate
NP_414574.1	NP_414574	alternate
NP_414576.4	caiF	primary
NP_414576.4	b0034	alternate
NP_414576.4	944795	alternate
NP_414576.4	90111079	alternate
NP_414576.4	NP_414576.4	alternate
